Materialnummer,Kurztext,Einkaufsbestelltext
1679593,Servomotor 5/2.720.001.002,"Servomotor
Herstellerteilenummer:          XXX_ESITRON
Hersteller:                     ESITRON
Typbezeichnung:                 5/2.720.001.002
N1 Antriebsdrehzahl:            3.000,00 1/min
Antriebsmoment:                 0,50 NM
Spannung:                       48V DC"
1970174,Servomotor 373E11Z2006S21,"Servomotor
Hersteller BAELZ
Typbezeichnung 373 E11 Z-20-06-S21
Antriebsmoment 2000 Nm
Antriebsdrehzahl 6mm/min
Spannung 230 V - 115 V
Isolierklasse 0-50°C - 0-75°C
Schutzart IP44"
1970077,"Kettenrad B-1 5/8"" Z13 K 9183-4.2.3","Kettenrad
B-1 5/8"" Z13
K 9183-4.2.3
DIN 8187"
1970213,Schraube M10 x 60H DIN 444B 8.8,"Augenschraube
M10 x 60H
DIN 444B
10001815
VARISCO"
1057364,Schraube M12x40 DIN6912 10.9 schw.,"Zylinderschraube mit Innensechskant
M12 x 40
DIN 6912
10.9
schwarz"
1970409,Servomotor 1FT6105-8AF71-1EB0,"Servomotor
Hersteller: Siemens
Typbezeichnung: 1FT6105-8AF71-1EB0
N1 Antriebsdrehzahl: 3.000,00 1/min
Antriebsmoment: 28,00 NM
Spannung [50Hz]: 297V
Schutzart: IP64-Staubdicht/Spritzwasser
Motor-Bremse: Ja"
1970392,Keilriemen SPZ 2500 LW OPTIBELT,"Keilriemen
SPZ-2500
Wirklänge 2.500,0 mm
Außenlänge 2.513,0 mm
Innenlänge 2.462,0 mm
OPTIBELT"
1970070,Mutter M36 DIN 982-8 verzinkt.,"Hexagonmutter mit Polyamidklemmteil
hohe Form
M36
DIN 982-8
verzinkt"
1970308,Lager BC1-0313 SKF,"Lager
BC1-0313
SKF"
1970191,PN-Zylinder ADN-25-50-A-P-A 536258 FESTO,"Kompaktzylinder
ADN-25-50-A-P-A
536258
FESTO"
114625,Wellendichtring 35x62x8 BASL,"Wellendichtring
35x62x8
BASL"
1970398,Servomotor 1PH7101-7JF03-0BB3-Z M39,"Servomotor
Hersteller: Siemens
Typbezeichnung: 1PH7101-7JF03-0BB3-Z M39
Leistung [kW]: 3,800 kW
N1 Antriebsdrehzahl: 1.750,00 1/min
Spannung [50Hz]: 398Y
Baugröße: B35
Isolierklasse: Iso-Kl.:F (tmax=155°C)
Schutzart: IP54-Staubablage/Spritzwasser"
1061069,Schraube M12x100 DIN603 8.8 verz.,"Flachrundschraube mit Vierkantansatz
DIN 603
M12x100
8.8
verzinkt"
1970350,GT-Motor RF37DRN80M4TH,"Getriebemotor
Hersteller: SEW
Typbezeichnung: RF37DRN80M4TH
Leistung [kW]: 0,750 kW
Antriebsmoment (max): 200,00 NM
Antriebsmoment (nenn): 96,00 NM
N1 Antriebsdrehzahl: 1.440,00 1/min
N2 Abtriebsdrehzahl: 75,00 1/min
Getriebeübersetzung i: 19,310
Spannung [50Hz]: 230D/400Y
Bauform: M4
Klemmkastenlage: Normal
Isolierklasse: Iso-Kl.:F (tmax=155°C)
Schutzart: IP54-Staubablage/Spritzwasser
Energieeffizienzklasse: IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
1970047,Wellendichtring 35 x 62 x 12 BASL,"Wellendichtring
35 x 62 x 12
BASL"
1552839,PN-Schlauch PUN-8-BL-400-HA FESTO,"Kunststoffschlauch
PUN-8-BL-400-HA
553573
FESTO"
949599,"O-Ring 33,05x1,78mm NBR70 Shore","O-Ring
33,05 x 1,78
70 Shore
NBR"
1970171,Thermistor 3RN1011-1BB00 SIEMENS,"Thermistor-Motorschutz
3RN1011-1BB00
SIEMENS"
1970175,Servomotor 1FT60621AH713AH1,"Synchron-Servomotor Drehantrieb
Hersteller SIEMENS
Typbezeichnung 1FT6062-1AH71-3AH1
Mo: 5,0 / 6,0Nm
Mh: 3,6Nm
Antriebsdrehzahl N1 4.500,00 1/min
Spannung 288V
Motorbremse 24V / 17W"
1970424,Radialwellendichtring 35x65x10 BASL,"Radialwellendichtring
35x65x10
BASL"
1970319,Lager YAR 215-2F SKF,"Spannlager
YAR 215-2F
SKF"
1970051,Mutter M36 DIN 934-8 verz.,"Sechskantmutter
M36 DIN 934-8 verz."
1970242,"ORing 34,00x3,00mm EPDM 70Sh perox","ORing
34,00x3,00mm
EPDM 70Sh perox
900060128
KRONES"
1814145,Servomotor 1PH8186-1HF132BD1-Z,"Servomotor
Hersteller:                     Siemens
Typbezeichnung:                 1PH8186-1HF132BD1-Z
Leistung [kW]:                  94,000 kW
N1 Antriebsdrehzahl:            2.200,00 1/min
Bauform:                        B35
Isolierklasse:                  Iso-Kl.:H (tmax=180°C)
Schutzart:                      IP55-Staubablage/Strahlwasser"
1970410,Servomotor 1FT6105-8AF71-1EB0,"Servomotor
Hersteller: Siemens
Typbezeichnung: 1FT6105-8AF71-1EB0
N1 Antriebsdrehzahl: 3.000,00 1/min
Antriebsmoment: 28,00 NM
Spannung [50Hz]: 297V
Schutzart: IP64-Staubdicht/Spritzwasser
Motor-Bremse: Ja"
1970249,Lager BS222222RS5VT143 SKF,"Lager
BS222222RS5VT143
SKF"
793260,Kettenrad KR16B-1 Z20 G-35/60SK,"Kettenrad KR16B-1 Z=20G-35/60SK
1"" x 17,02 x 15,88mm
DIN 8187, z=20
passend zur Einfach-Rollenkette DIN 8187,
Typ 16B-1, 20 Zähne,
mit eingefrästen Schmutzkerben,
Nabenlänge 45 mm, symetrisch,
Nabendurchmesser 85 mm, Bohrungsdurchmesser 35 mm H7
15mm tief, Bohrungsdurchmesser 60 mm H7,
30 mm tief für Ringspannelement 3560, einteilig,
Zähne gehärtet
FB KETTEN"
791945,"Kettenrad B-1 1 1/2"" Z34 TLB 3030 gehae.","Kettenrad einfach
1 1/2"" Z34 TL3030 vorbereitet
Nabenüberstand 25/27
Zahnkranz gehärtet"
372397,Wellendichtring 35x62x10 BASL Viton,"Wellendichtring
35x62x10
BASL Viton"
1970049,Wellendichtring 35 x 62 x 5 BASL,"Wellendichtring
35 x 62 x 5 mm
BASL"
1970195,Lager 2217 KC3 SKF,"Lager
2217 KC3
SKF"
1963334,GT-Motor DRN71M4BE05FTTH,"Getriebemotor
Herstellerteilenummer:          XXXX_SIEMPELKAMP
Hersteller:                     SEW
Typbezeichnung:                 DRN71M4BE05FTTH
Leistung [kW]:                  0,370 kW
Antriebsmoment (max):           56,00 NM
Antriebsmoment (nenn):          19,00 NM
N1 Antriebsdrehzahl:            1.415,00 1/min
Bauform:                        M1
Schutzart:                      IP55-Staubablage/Strahlwasser
Bremsgroesse:                   24 DC
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
1970083,Servomotor AM80330E210000,"Servomotor
Hersteller BECKHOFF
Typbezeichnung AM8033-0E21-0000
Leistung 0,940 kW
N1 Antriebsdrehzahl 3.000,00 1/min
Antriebsmoment 3,20 Nm
Spannung 400V
Strom 2,1 A
Isolierklasse F
Schutzart IP54
Motor-Bremse 24V DC 12W
Thermo KTY Ja
Art.Nr.: 139774"
1970136,Kettenrad 12B-1 Z13 d=18 m.Nut gehae.,"Kettenrad gehärtet
12B-1
Z = 13
D = 18mm
mit Nut
M6"
1970133,Wellendichtring 35 x 62 x 10 NBR/VA B,"Wellendichtring
35 x 62 x 10
Form B
NBR/VA
DOMSEL"
1970361,Lager 3305 A SKF,"Schrägkugellager 2-reihig
3305 A
SKF"
1970240,Lager 23224 CC/W33-C4 SKF,"Lager
23224
CC/W33-C4
SKF"
1904125,Lager 23130CCK SKF,"Lager
23130CCK
SKF"
1970256,Lager 22228CCK SKF,"Lager
22228CCK
SKF"
1970183,"Kettenrad B-2 5/8"" Z30 vorg.gehae.","Kettenrad
für Zweifach-Rollenkette B-2
5/8""
Z = 30
vorgebohrt
Zahnkranz gehärtet"
1970357,GT-Motor KH67DRN112M4BE5KCCTF,"Getriebemotor
Hersteller: SEW
Typbezeichnung: KH67 DRN112M4/BE5/KCC/TF
Leistung [kW]: 4,000 kW
N1 Antriebsdrehzahl: 1.464,00 1/min
N2 Abtriebsdrehzahl: 83,00 1/min
Getriebeübersetzung i: 17,540
Spannung [50Hz]: 230D/400Y
Bauform: M3A
Baugröße: 112M (H=112 mm/Gehäuseausf.:M)
Klemmkastenlage: 180° Normal
Isolierklasse: Iso-Kl.: F (tma x =155°C)
Motor-Bremse: BE5
Bremsgroesse: 400V AC 55Nm
Energieeffizienzklasse: IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
1963315,GT-Motor FH77DRU100L4TF,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 FH77DRU100L4TF
Leistung [kW]:                  2,200 kW
N1 Antriebsdrehzahl:            1.464,00 1/min
N2 Abtriebsdrehzahl:            20,00 1/min
Getriebeübersetzung i:          75,020
Spannung [50Hz]:                230D/400Y
Bauform:                        M1
Baugröße:                       100L  (H=100mm/Gehäuseausf.:L)
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP65-Staubdicht/Strahlwasser
Fremdlüfter:                    Nein
Motor-Bremse:                   Nein
Energieeffizienzklasse:         IE4 Super Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
1970104,PN-Schlauch PUN-8-BL-400-HA FESTO,"Kunststoffschlauch
PUN-8-BL-400-HA
553573
FESTO"
1970238,Radialwellendichtring 35x62x8 BASL,"Radialwellendichtring
35x62x8
BASL"
1959044,GT-Motor R27DRN80M4TFAL,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 R27 DRN80M4/TF/AL
Leistung [kW]:                  0,750 kW
Antriebsmoment (max):           130,00 Nm
Antriebsmoment (nenn):          66,00 Nm
N1 Antriebsdrehzahl:            1.440,00 1/min
N2 Abtriebsdrehzahl:            108,00 1/min
Getriebeübersetzung i:          13,280
Spannung [50Hz]:                220-230D/380-400Y
Bauform:                        M6
Baugröße:                       80M (H=80mm/Gehäuseausf.:M)
Isolierklasse:                  Iso-Kl.: F (tmax=155°C)
Schutzart:                      IP55-Staubablage/Strahlwasser
Fremdlüfter:                    Nein
Motor-Bremse:                   Nein
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
790947,"Kettenrad B-2 1"" Z16 d=50mm","Kettenrad
B-2 1"" Z16 geb.50mm
DIN 8187"
1384853,Servomotor 1FK71055AY811YY3Z,"Servomotor
Hersteller                     KUKA
Typbezeichnung                 1FK7105-5AY81-1YY3-Z
Leistung                       4,300 kW
N1 Antriebsdrehzahl            3.000,00 1/min
Drehzahl max.                  5.000,00 1/min
Spannung                       203 V
Nennstrom                      15,5 A
Isolierklasse                  F
Schutzart                      IP65
Art.Nr.:                       131491"
1970218,Schraube M36x3x240 DIN 912 12.9 schwarz.,"Zylinderschraube mit Innensechskant
M36 x 3 x 240
DIN 912
12.9
schwarz"
1970429,Lager NU320ECJ SKF,"Lager
NU320ECJ
SKF"
1970364,GT-Motor R103DV160M4,"Getriebemotor
Hersteller: SEW
Typbezeichnung: R103DV160M4
Leistung [kW]: 11,000 kW
N1 Antriebsdrehzahl: 1.440,00 1/min
Abt.drehzahl pol-schaltbar N2: 42,00 1/min
Bauform: B3
Isolierklasse: Iso-Kl.:B (tmax=130°C)
Schutzart: IP54-Staubablage/Spritzwasser"
1970203,"Kettenrad B-2 1 1/4"" Z23 TLB 3030 gehae.","Kettenrad für Zweifach-Rollenkette
1 1/4"", Z23, für TL 3030
Zahnflanken gehärtet"
1412376,Servomotor 1FK71035AY711SY3Z,"Servomotor
Hersteller                     KUKA
Typbezeichnung                 1FK7103-5AY71-1SY3-Z
Leistung                       6,600 kW
N1 Antriebsdrehzahl            3.000,00 1/min
Spannung                       209V
Isolierklasse                  F
Schutzart                      IP65"
113592,Wellendichtring 35x62x12 BASL,"Wellendichtring
35x62x12
BASL"
1970339,Lager NJ 2203 ECP SKF,"Zylinderrollenlager
NJ2203ECP
SKF"
1970380,GT-Motor R27DRN80M4TFAL,"Getriebemotor
Hersteller: SEW
Typbezeichnung: R27 DRN80M4/TF/AL
Leistung [kW]: 0,750 kW
Antriebsmoment (max): 130,00 Nm
Antriebsmoment (nenn): 66,00 Nm
N1 Antriebsdrehzahl: 1.440,00 1/min
N2 Abtriebsdrehzahl: 108,00 1/min
Getriebeübersetzung i: 13,280
Spannung [50Hz]: 220-230D/380-400Y
Bauform: M6
Baugröße: 80M (H=80mm/Gehäuseausf.:M)
Isolierklasse: Iso-Kl.: F (tmax=155°C)
Schutzart: IP55-Staubablage/Strahlwasser
Fremdlüfter: Nein
Motor-Bremse: Nein
Energieeffizienzklasse: IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
1910244,"Mutter M36x1,5-17H 9218201324 LINDE","Mutter
M36x1,5-17H
9218201324
LINDE"
1970316,"ORing 33,2x2,4mm NBR70 0009632318 LINDE","ORing
33,2 x 2,4 mm
WST: NBR
70 Shore A
0009632318
LINDE"
1970142,"ORing 33,05x1,78mm NBR70 Shore","ORing
33,05 x 1,78
70 Shore
NBR"
106075,Schraube 12x180 DIN571 4.6 verz.,"Sechskant - Holzschraube
DIN 571
12x180
4.6
galvanisch verzinkt"
1326130,"Kette 08A-3 12,7 1/2""x7,85mm DIN8188","Kette
08A-3
Teilung: 12,7
Teilung: 1/2""
Innere breite: 7,85mm
DIN 8188
ASA 40-3"
1970323,Lager NU 214 ECJ/C3 SKF,"Zylinderrollenlager
NU 214 ECJ/C3
SKF"
1904489,Lager 6313/C4 SKF,"Lager
6313/C4
SKF"
1970351,"Getriebe R77A i=7,74 SEW","Getriebe
Hersteller: SEW
Typbezeichnung: R77A
N1 Antriebsdrehzahl: 1.400,00 1/min
N2 Abtriebsdrehzahl: 181,00 1/min
Drehmoment: 610,00 NM
Getriebeübersetzung i: 7,740
Bauform: M1
Getriebeausführung: Stirnradgetriebe"
785291,Getriebe  K2L30080WP71111LUR,"Getriebe
Getriebehersteller             NOVENTAS
Getriebetyp                    K2L30080WP71111LUR
Herstellerserialnummer         01991249
Antriebsmoment (max)           45.000,00 NM
Übersetzung i                  71,900
Vorpressengetriebe K2L 30080 WP 71- 111/LUR
Technische Daten:
Antriebsmotor: 1PH7 224 (Siemens)
Motorleistung: 110 KW
Motorendrehzahl: 1750 min^-1
Min. Motordrehzahl: 51,42 min^-1
Max Motordrehzahl: 2571 min^-1
Feldschwächung
Getriebeuntersetzung I:71,9
Min. Abtriebsdrehzahl n2: 0,72 min^-1
Max. Abtriebsdrehzahl n2: 35,76 min^-1
Abtriebsmoment T2n: 40981 NM
Max. Anfahrmoment T2n:40981 NM
Einbaulage: Waagerecht
Incl. Hohlwelle D=150mm/140mm
Schrumpfscheibe
Befestigungsflansch fuer Momentenstuetze
(Ausführung wie A441.03.60)
Anschlussmasse Drehmomentstuetze:
Mass von Aussenkante Schrumpfscheibe bis Anschraubflaeche
Drehmomentstuetze:150 mm
Aussendurchmesser: 540mm
Lochkreisdurchmesser: 510mm
Bohrungsdurchmesser: 18mm
Teilung:24 X 15 Grad
Zentrierdurchmesser: 460mm
Drehmomentstuetze Lieferumfang SICO
Getriebeausführung bei Blick auf Hohlwelle:
Anbau Motor / Bremse : links
Drehrichtung : rechts
Bremsenhersteller: Deutsche van Rietschoten u. Houwens
Bremszange: 100.406.01(100 prozent Feder/280NM)
Bremsscheibe : D348 x 12,7 mm
Bremsenansteuerung: SK 9769/Ventilspannung 24V DC
Ueberwachungseinheit: SK0303/Initiator Fa. Pepperl und Fuchs 24VDC
Oelschmierung: Klüber Syntheso D100 EP
Geeignet fuer den Betrieb in Zone 22 nach EN 1127
Geraetekennzeichnung: II3D
Max. zulaessige Oberflaechentemperatur: 205 Grad C
No: W11351
Ident.Nr.:01991249
Auftragsnummer: 7070360/V8223801
Siempelkamp Teilenummer1: 01991249"
1970072,Servomotor 30PM068,"Servomotor
Hersteller SIBONI
Typbezeichnung 30PM068
Leistung [kW] 45,000 W
N1 Antriebsdrehzahl 1.950,00 1/min
Antriebsmoment 0,22 NM
Spannung [50Hz] 24
Isolierklasse F
Schutzart IP44"
1970105,Schraube M20 x 100 DIN 931 8.8 schw.,"Sechskantschraube mit Schaft
M20 x 100
DIN 931
8.8
schwarz"
1970369,GT-Motor KA87DRN180L4TF,"Getriebemotor
Hersteller: SEW
Typbezeichnung: KA87 DRN180L4/TF
Leistung [kW]: 22,000 kW
Antriebsmoment (ma x ): 2.300,00 Nm
N1 Antriebsdrehzahl: 1.477,00 1/min
N2 Abtriebsdrehzahl: 76,00 1/min
Getriebeübersetzung i: 19,450
Spannung [50Hz]: 380-400D/660-690Y
Bauform: M3-M4A/45°
Baugröße: 180L (H=180 mm/Gehäuseausf.: L)
Klemmkastenlage: Normal
Isolierklasse: Iso-Kl.: F (tma x =155°C)
Schutzart: IP55-Staubablage/Strahlwasser
Energieeffizienzklasse: IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
1970278,Lager 61903 2Z SKF,"Rillenkugellager
61903 2Z
SKF"
1970368,GT-Motor R97DRN132M4TF,"Getriebemotor
Hersteller: SEW
Typbezeichnung: R97DRN132M4TF
Leistung [kW]: 7,500 kW
Antriebsmoment (nenn): 1.090,00 NM
N1 Antriebsdrehzahl: 1.468,00 1/min
N2 Abtriebsdrehzahl: 66,00 1/min
Getriebeübersetzung i: 22,370
Spannung [50Hz]: 230D/400Y
Baugröße: 132
Isolierklasse: Iso-Kl.:F (tmax=155°C)
Schutzart: IP55-Staubablage/Strahlwasser
Fremdlüfter: Nein
Motor-Bremse: Nein
Energieeffizienzklasse: IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
1970184,"Kettenrad B-2 5/8"" Z30 vorg.gehae.","Kettenrad
für Zweifach-Rollenkette B-2
5/8""
Z = 30
vorgebohrt
Zahnkranz gehärtet"
1970341,GT-Motor KH77DRN100L4KCCTF,"Getriebemotor
Hersteller: SEW
Typbezeichnung: KH77DRN100L4KCCTF
Leistung [kW]: 3,000 kW
Antriebsmoment (ma x ): 1.550,00 NM
Antriebsmoment (nenn): 1.010,00 NM
N1 Antriebsdrehzahl: 1.456,00 1/min
N2 Abtriebsdrehzahl: 28,00 1/min
Getriebeübersetzung i: 51,180
Spannung [50Hz]: 230D/400Y
Bauform: M1B
Klemmkastenlage: 180 NORMAL
Isolierklasse: Iso-Kl.:F (tma x =155°C)
Schutzart: IP54-Staubablage/Spritzwasser
Energieeffizienzklasse: IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
1970411,Servomotor 1FT7108-5SF71-1CB0-Z,"Servomotor
Hersteller: Siemens
Typbezeichnung: 1FT7108-5SF71-1CB0-Z
N1 Antriebsdrehzahl: 6.000,00 1/min
Antriebsmoment: 60,00 NM
Isolierklasse: Iso-Kl.:F (tma x =155°C)
Schutzart: IP55-Staubablage/Strahlwasser
Motor-Bremse: 24DC"
1970206,Kettenrad KR90D100 Z10 d=85H7,"Kettenrad
KR90D100
Z = 10
10 Zähne, Zahnbreite 11 mm, nach oben verlängert
Rollendurchmesser 45mm
Nabengesamtlänge 71 mm, einseitig
Nabendurchmesser 130mm
aus S152-3, ungehärtet, mit Bohrung 85H7 ohne Nut"
1892208,Lager 215x170x22mm 61834 SKF,"Lager
215x170x22mm
61834
SKF"
1970194,Schraube M8x30 DIN 912 10.9 schwarz.,"Zylinderschraube mit Innensechskant
M8 x 30
DIN 912
10.9
schwarz"
1970382,GT-Motor KA97TR57DRN80MK4TFEK8RAL,"Getriebemotor
Hersteller: SEW
Typbezeichnung: KA97TR57DRN80MK4TFEK8RAL
Leistung [kW]: 0,550 kW
Antriebsmoment (max): 4.300,00 Nm
Antriebsmoment (nenn): 2.460,00 Nm
N1 Antriebsdrehzahl: 1.435,00 1/min
N2 Abtriebsdrehzahl: 1,90 1/min
Getriebeübersetzung i: 743,000
Spannung [50Hz]: 220-24D/380-415Y
Bauform: M4B
Baugröße: 80M (H=80mm/Gehäuseausf.:M)
Isolierklasse: Iso-Kl.: F (tmax=155°C)
Schutzart: IP55-Staubablage/Strahlwasser
Energieeffizienzklasse: IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
1970334,Servomotor 1FL60421AF612AA1,"Servomotor
Hersteller: Siemens
Typbezeichnung: 1FL6042-1AF61-2AA1
Leistung [kW]: 0,400 kW
Leistung [PS]: 0,540 PS
N1 Antriebsdrehzahl: 3.000,00 1/min
N1 Antriebsdrehzahl max.: 4.000,00 1/min
Antriebsmoment: 1,90 Nm
Antriebsmoment max.: 3,80 Nm
Spannung [50Hz]: 400 V
Bauform: B5
Isolierklasse: Iso-Kl.: B (tmax=130°C)
Schutzart: IP65-Staubdicht/Strahlwasser"
1970275,"Mutter M36 x 1,5-17H 9218201324 LINDE","Mutter
M36 x 1,5-17H
9218201324
LINDE"
1904133,Lager 23134 E1AM SKF,"Lager
23134 E1AM
SKF"
1970325,Lager 22328 CCKC3W33 SKF,"Pendelrollenlager
22328 CCK/C3W33
SKF"
1970151,Schraube M12 x 100 DIN 603 8.8 verz.,"Flachrundschraube mit Vierkantansatz
DIN 603
M12 x 100
8.8
verzinkt"
1970318,Servomotor AKM32E-ACCNC-00,"Servomotor
Hersteller: KOLLMORGEN
Typbezeichnung: AKM32E-ACCNC-00
Leistung [kW]: 0,100 kW
N1 Antriebsdrehzahl: 8.000,00 1/min
Antriebsmoment: 2,04 NM
Spannung [50Hz]: 400V
Schutzart: IP54-Staubablage/Spritzwasser"
1885479,Lager 61832 2RSMW SKF,"Rillenkugellager
61832 2RS-MW
SKF"
1041380,Servomotor 21586-088.34-3233-1 BUETTNER,"Servomotor
21586-088.34-3233-1
BUETTNER"
1970438,Mutter M8 DIN 6334 L=24mm verzinkt.,"Verlängerungsmutter 3d hoch
M8 L = 24mm
DIN 6334
Automatenstahl
verzinkt"
1970084,Servomotor AM80330E210000,"Servomotor
Hersteller BECKHOFF
Typbezeichnung AM8033-0E21-0000
Leistung 0,940 kW
N1 Antriebsdrehzahl 3.000,00 1/min
Antriebsmoment 3,20 Nm
Spannung 400V
Strom 2,1 A
Isolierklasse F
Schutzart IP54
Motor-Bremse 24V DC 12W
Thermo KTY Ja
Art.Nr.: 139774"
1970178,GT-Motor KA37DRS80S4TH,"Getriebemotor
Hersteller SEW
Typbezeichnung KA37DRS80S4/TH
Motorleistung 0,750 kW
Antriebsdrehzahl N1 1.400,00 1/min
Abtr.Drehzahl N2 206,00 1/min
Spannung 230D/400Y
Bauform M4B
Isolierklasse F
Schutzart IP54
Ausführungsart Hohlwelle
Hohlwelle d = 30mm"
1163299,Thermistor 3RN1011-1BB00 SIEMENS,"Thermistor-Motorschutz
3RN1011-1BB00
SIEMENS"
948139,Wellendichtring 35x62x7 B1SL,"Wellendichtring
35x62x7
B1SL"
1970233,Wellendichtring 35 x 65 x 12 BASL,"Wellendichtring
35 x 65 x 12
BASL"
1970113,Servomotor 1FK71035AY711SY3Z,"Servomotor
Hersteller KUKA
Typbezeichnung 1FK7103-5AY71-1SY3-Z
Leistung 6,600 kW
N1 Antriebsdrehzahl 3.000,00 1/min
Spannung 209V
Isolierklasse F
Schutzart IP65"
1970385,GT-Motor FA47GDRN90S4TFAL,"Getriebemotor
Hersteller: SEW
Typbezeichnung: FA47/G DRN90S4/TF/AL
Leistung [kW]: 1,100 kW
Antriebsmoment (ma x ): 450,00 Nm
Antriebsmoment (nenn): 79,00 Nm
N1 Antriebsdrehzahl: 1.455,00 1/min
N2 Abtriebsdrehzahl: 133,00 1/min
Getriebeübersetzung i: 10,970
Spannung [50Hz]: 220-230D/380-400Y
Bauform: M5
Baugröße: 90S (H=90 mm/Gehäuseausf.:S)
Isolierklasse: Iso-Kl.: F (tma x =155°C)
Schutzart: IP55-Staubablage/Strahlwasser
Fremdlüfter: Nein
Motor-Bremse: Nein
Energieeffizienzklasse: IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
1384893,Servomotor 1FK71035AF811YY3Z,"Servomotor
Hersteller                     KUKA
Typbezeichnung                 1FK7103-5AF81 1YY3-Z
Leistung                       6,900 kW
N1 Antriebsdrehzahl            3.000 1/min
Drehzahl max.                  5.000 1/min
Spannung                       156 V
Nennstrom                      17 A
Isolierklasse                  F
Schutzart                      IP65
Art.Nr.:                       131492"
1970089,Schraube M6 x 30 DIN 835 8.8 verz.,"Stiftschraube mit Einschraubende
M6 x 30
DIN 835
8.8
verzinkt"
1970215,"O-Ring 339,30 x 5,70 mm NBR70 Shore","O-Ring
339,3 x 5,7 mm
WST: NBR
70 Shore"
1492093,Mutter M36 DIN982-8 A2,"Sechskantmutter mit Klemmteil
hohe Form
M36
DIN 982-8
A2
Edelstahl"
1348000,Relais 3RU2126-4DB1 20-25A SIEMENS,"Überlastrelais
3RU2126-4DB1
20-25A
SIEMENS"
1970131,"Kettenrad B-2 1 1/4"" Z25 TLB 3030","Kettenraeder fuer Zweifach-Rollenkette
1 1/4"" Z25 fuer TL 3030"
1963324,GT-Motor KA19BTDRN80MK4EK8SPK,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 KA19BTDRN80MK4EK8SPK
Leistung [kW]:                  0,550 kW
Antriebsmoment (max):           80,00 NM
N1 Antriebsdrehzahl:            1.745,00 1/min
N2 Abtriebsdrehzahl:            218,00 1/min
Getriebeübersetzung i:          8,010
Spannung [50Hz]:                220-240D/380-415Y
Bauform:                        M2A
Isolierklasse:                  Iso-Kl.:B (tmax=130°C)
Schutzart:                      IP54-Staubablage/Spritzwasser
Bremsgroesse:                   NM30/24
Energieeffizienzklasse:         IE3 Premium Efficiency"
1525446,Servomotor AM8051-1G21-9000,"Servomotor
Hersteller                     BECKHOFF
Typbezeichnung                 AM8051-1G21-9000
N1 Antriebsdrehzahl            5,000.00 1/min
Spannung                       400V
Bauform                        B5
Isolierklasse                  F
Schutzart                      IP54
Art.Nr.:                       10802210"
1963319,GT-Motor R147DRN180M4,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 R147DRN180M4
Leistung [kW]:                  18,500 kW
Antriebsmoment (max):           13.000,00 NM
Antriebsmoment (nenn):          6.320,00 NM
N1 Antriebsdrehzahl:            1.478,00 1/min
N2 Abtriebsdrehzahl:            28,00 1/min
Getriebeübersetzung i:          52,870
Spannung [50Hz]:                400D/690Y
Bauform:                        M1
Isolierklasse:                  Iso-Kl.:B (tmax=130°C)
Schutzart:                      IP54-Staubablage/Spritzwasser
Energieeffizienzklasse:         IE3 Premium Efficiency"
1960713,GT-Motor FA67DRN100LS4TF,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 FA67 DRN100LS4/TF
Leistung [kW]:                  2,200 kW
Antriebsmoment (max):           495,00 Nm
N1 Antriebsdrehzahl:            1.450,00 1/min
N2 Abtriebsdrehzahl:            43,00 1/min
Getriebeübersetzung i:          34,010
Spannung [50Hz]:                230D/400Y
Bauform:                        M1
Baugröße:                       100L (H=100mm/Gehäuseausf.:L)
Klemmkastenlage:                180° Normal
Isolierklasse:                  Iso-Kl.: F (tmax=155°C)
Schutzart:                      IP55-Staubablage/Strahlwasser
Fremdlüfter:                    Nein
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
